State	City	Airport Name	Airport Code	FBO Name	Phone Numbers(s)	*Has Fees?	*Fee Categorization	If other, how do they categorize?	Landing Fee	Ramp Fee	Tie Down Fee	Facility Fee	Call Out Fee	Hangar Fee	How often do fees change?	*Fees waived by fuel purchase?	If so, how much fuel?	Who did you talk to?	*Call Date	*Quality of Info?	*Do they have a fee sheet?	If so, what's the link? (double check hangar/call out fees)	Additional Info
KY	Ashland	Ashland Regional Airport	KDWU	Ashland Regional Airport	606-494-2034	Yes	Engine Type		0	$75	$0	0	$150		Rarely	Yes	$1,000	John Galvin -Lineman	08/24/2017	Good	No		Under Construction
KY	Bardstown	Samuels Field Airport	KBRY	 Bluegrass Aviation	502-348-2099	Yes	Engine Type		0	0	0	$10-100	$75	$15/night-$80/night	never	Yes	10 Gallons	William	8/25/2017	Good	No		
KY	Bowling Green	Bowling Green-Warren County Regional Airport	KBWG	Co-Mar Aviation	270-781-9797	Yes	Engine Type					$10-200	0	$25-85/night	Several Years	Yes	no minimum	Lucas	8/25/2017	No Real Structure	Yes	comaraviation.com, airnav.com	
KY	Bowling Green	Bowling Green-Warren County Regional Airport	KBWG	 Bowling Green/Warren County Regional Airport	270-842-1101	Yes	Engine Type					$10-200	0	$25-85/night	Several Years	Yes	no minimum	Lucas	8/25/2017	No Real Structure	No		Affiliate of Comar
KY	Campbellsville	Taylor County Airport	KAAS	 Taylor County Airport	270-789-4182	Yes	Engine Type		$30	0	0	0	30	125	Rarely	Yes	100 Galon	Carl Watson	8/24/2017	Good	No		
KY	Columbia	Columbia-Adair County Airport	I96	Columbia-Adair County Airport	270-384-0601															Did not Answer (Called Twice)			
KY	Covington	Cincinnati/Northern Kentucky International Airport	KCVG	Delta Jet Center	859-534-4301	Yes	Weight		>40000 lbs: $2.67/1000lbs									Zach	8/24/2017	Dope AF(Fee Sheet Received)	Yes		
KY	Cynthiana	Cynthiana-Harrison County Airport	0I8	Cynthiana-Harrison County Airport	859-234-8477															Did not Answer (Called Twice)	No		
KY	Danville	Stuart Powell Field Airport	KDVK	Danville Boyle County Airport	859-854-5994	Yes	Make and Model				$100		$100		Set	Yes		Nick	8/24/2017	Unreliable Data	No		
KY	Elizabethtown	Addington Field Airport	KEKX	Elizabethtown Flying Service	270-737-8388	Yes	Weight and Engine		0	$75-150	single engine piston: $35/month, twin engine piston: $50/month	$75/day	$150	$140-200/mo depending on age of hanger	Annual review	Yes	100 Galon	Anne Lawson- vp of operations	8/24/2017	Good	No		
KY	Falmouth	Gene Snyder Airport	K62	Gene Snyder Airport	859-654-1200															Did not Answer (Called Twice)			
KY	Flemingsburg	Fleming-Mason Airport	KFGX	Coleman Aviation	606-742-2411	Yes	Weight and Engine		0	$45	$5/day	0	$25	$50/night	7/8yrs	Yes	100 Galon	Mitch - Airport Manager	8/24/2017	Good	No		
