State	City	Airport Name	Airport Code	FBO Name	Phone Numbers(s)	*Has Fees?	*Fee Categorization	If other, how do they categorize?	Landing Fee	Ramp Fee	Tie Down Fee	Facility Fee	Call Out Fee	Hangar Fee	How often do fees change?	*Fees waived by fuel purchase?	If so, how much fuel?	Who did you talk to?	*Call Date	*Quality of Info?	*Do they have a fee sheet?	If so, what's the link? (double check hangar/call out fees)	Additional Info
OR	Aurora	Aurora State Airport	KUAO	Willamette Aviation Service, LLC	503-678-2252	Did Not/Would not answer														Did not Answer (Called Twice)			
OR	Brookings	Brookings Airport	KBOK	Brookings Flying Club	541-412-8682	Did Not/Would not answer														Did not Answer (Called Twice)			
OR	Burns	Burns Municipal Airport	KBNO	City of Burns (FBO)	541-573-6139, 541-620-4188	Did Not/Would not answer														Did not Answer (Called Twice)			
OR	Creswell	Hobby Field Airport	77S	Creswell Airport	541-895-2913	Did Not/Would not answer														Did not Answer (Called Twice)			
OR	Independence	Independence State Airport	7S5	Nutsch Aviation	503-428-7209, 503-428-7210	Did Not/Would not answer														Did not Answer (Called Twice)			
OR	Independence	Independence State Airport	7S5	Independence Aviation LLC	503-606-2923	Did Not/Would not answer														Did not Answer (Called Twice)			
OR	Joseph	Joseph State Airport	KJSY	Oregon Department of Aviation	503-378-4880	Did Not/Would not answer														Did not Answer (Called Twice)			
OR	Klamath Falls	Crater Lake-Klamath Regional Airport	KLMT	Century Aviation Services	541-882-4681	Did Not/Would not answer														Did not Answer (Called Twice)			
OR	Lakeview	Lake County Airport	KLKV	Lake County Airport	541-947-4222, 541-951-8883	Did Not/Would not answer														Did not Answer (Called Twice)			
OR	Portland	Portland-Hillsboro Airport	KHIO	Hillsboro Aviation	503-648-2831	Did Not/Would not answer														Did not Answer (Called Twice)			
OR	Bandon	Bandon State Airport	S05	Bandon Aero Club	541-347-2022	No			0	0	0	0	0	0	No	No		Guy	7/25	Good	No		There are no fees at all. 
OR	Corvallis	Corvallis Municipal Airport	KCVO	Corvallis Aero Service	541-753-4466	No				0	0	0	0	No hangars	No	No		Quinn	7/27	Good	No		
OR	Enterprise	Enterprise Municipal Airport	8S4	Stangel Flight Service	541-426-3562	No								90 a month				Dick	7/31	Good	No		
OR	Ontario	Ontario Municipal Airport	KONO	Frazier Aviation LLC	541-889-9197	No												Tom	8/7	No Real Structure	No		
OR	Pendleton	Eastern Oregon Regional Airport at Pendleton	KPDT	Pendleton Aviation	541-276-3313	No												Larry	8/7	No Real Structure	No		No structure at all. Sketchy
OR	Albany	Albany Municipal Airport	S12	 Infinite Air Center, LLC	541-730-3345	Yes	Flat Rate		0	5 days free + 10/day	5 days free	0	0	4 maintenance bays, 10 a day 	No	Yes	Waived by annual inspection	Kevin	7/11	Good	No		Fuel discount of 10 cents per gallon if annual inspection is done there, also a no show fee of 40
