State	City	Airport Name	Airport Code	FBO Name	Phone Numbers(s)	*Has Fees?	*Fee Categorization	If other, how do they categorize?	Landing Fee	Ramp Fee	Tie Down Fee	Facility Fee	Call Out Fee	Hangar Fee	Other Fee	How often do fees change?	*Fees waived by fuel purchase?	If so, how much fuel?	Who did you talk to?	*Call Date	*Quality of Info?	*Do they have a fee sheet?	If so, what's the link? (double check hangar/call out fees)	Additional Info
TX	Longview	East Texas Regional Airport	KGGG	KRS Jet Center	903-643-2010	Did Not/Would not answer														2017-08-22	Would not Disclose			
TX	Houston	Pearland Regional Airport	KLVJ	 Pearland Regional Airport FBO	281-482-7551	Did Not/Would not answer															Did not Answer (Called Twice)			Does not seem to exist
TX	Mc Allen	Mc Allen Miller International Airport	KMFE	McCreery Aviation Co.	956-686-1774	Did Not/Would not answer															Did not Answer (Will Call Again)			Said to call back for manager
TX	Victoria	Victoria Regional Airport	KVCT	Victoria Jet Center	361-578-1221	Did Not/Would not answer															Did not Answer (Will Call Again)			Said to call back for Lauren
TX	Houston	Weiser Air Park	KEYQ	Weiser Airpark	281-469-8227	Did Not/Would not answer														2017-08-16	Did not Answer (Will Call Again)			
TX	Lago Vista	Lago Vista TX - Rusty Allen Airport	KRYW	Lago Vista Airport	512-267-4573	Did Not/Would not answer														2017-08-16	Did not Answer (Called Twice)			Number dead 
TX	Waco	Waco Regional Airport	KACT	Waco Jet Center, LLC	254-752-4100	Did Not/Would not answer														2017-08-16	Would not Disclose			
TX	Waco	Mc Gregor Executive Airport	KPWG	Jag Aviation	254-848-2345, 254-379-8204	Did Not/Would not answer														2017-08-16	Did not Answer (Called Twice)			Number dead
TX	Midlothian/Waxahachie	Mid-Way Regional Airport	KJWY	 Southern Star Aviation	972-937-5515, 972-923-0080	Did Not/Would not answer														2017-08-21				
TX	Longview	East Texas Regional Airport	KGGG	 Stebbins Aviation, Inc.	903-643-2621	No			0	0	0	0	$75	$25-$150/night						2017-08-22	Good			owned by county - can't charge fees
TX	Rockport	Aransas County Airport	KRKP	Aransas Co. Airport Services	361-790-0141	No			0	0	0	0	$200/hr	$100-$250/night						2017-08-22	Good			
TX	Dallas	Dallas Executive Airport	KRBD	Ambassador Jet Center	214-623-8800, 214-251-6512	No							$25 + $40/hour	--						2017-08-15	Good	No		
TX	Waco	Waco Regional Airport	KACT	Texas Aero	254-752-9731	No							$40/hour 	Usually free for 1 night					Gretchen	2017-08-16	Good			Lavatory fee $40, Oxygen $80, Charter baggage $1500
TX	Sulphur Springs	Sulphur Springs Municipal Airport	KSLR	City of Sulphur Springs	903-885-4911	No							$40	$40/night						2017-08-16	Good			
TX	Wichita Falls	Kickapoo Downtown Airport	KCWC	Kickapoo Downtown Airport	940-766-1735	No														2017-08-16	Good			
TX	Terrell	Terrell Municipal Airport	KTRL	Terrell Aviation	972-524-1601, 972-563-2552	No							$50	$150/month						2017-08-16	Good			
TX	Mineral Wells	Mineral Wells Airport	KMWL	 City of Mineral Wells (FBO)	940-328-7808	No							$100							2017-08-21	Good			
TX	Galveston	Scholes International Airport at Galveston	KGLS	Galveston Aviation Services, Inc.	877-744-9003, 409-744-9000	No							$100		Lav $50, GPU, $50					2017-08-21	Good			
