Ada/Twin Valley	Norman County-Ada-Twin Valley Airport	218-415-0191	Norman County Ada/Twin Valley Airport	MN	400	
Aitkin	Adventure North Flying Service, LLC	218-927-4104, 218-839-1067	Aitkin Municipal Airport-Steve Kurtz Field	MN	1320	adventurenorthllc@gmail.com
Albert Lea	Albert Lea Municipal Airport	507-373-0608	Albert Lea Municipal Airport	MN	2160	
Alexandria	Alexandria Aviation	320-762-2111	Chandler Field Airport	MN	2100	
Austin	Austin Aeroflight	507-433-1813	Austin Municipal Airport	MN	2100	
Baudette	Adventure North Flying Service, LLC	218-634-1923, 218-839-1067	Baudette International Airport	MN	1050	
Bemidji	Bemidji Aviation Services	218-751-1880	Bemidji Regional Airport	MN	1080	
Benson	Benson Municipal Airport	320-843-4880	Benson Municipal Airport	MN	392	
Blue Earth	Blue Earth Aviation	507-526-7264	Blue Earth Municipal Airport	MN	1140	
Brainerd	NorthPoint Aviation	218-829-3398	Brainerd Lakes Regional Airport	MN	3120	frontdesk@northpointaviation.net
Buffalo	City of Buffalo Fuel Facility/Ad Building	763-682-1181	Buffalo Municipal Airport	MN	1830	merton.auger@ci.buffalo
Caledonia	Houston County	507-725-3925	Houston County Airport	MN	268	
Cambridge	City of Cambridge (self-serve fuel system)	763-689-1800	Cambridge Municipal Airport	MN	1380	
Canby	City of Canby	507-828-0323	Myers Field Airport	MN	516	
Clear Lake	Leaders St. Cloud Flying Service	320-743-2294	Leaders/Clear Lake Airport	MN	536	
Cloquet	Venture North Aviation, LLC	218-879-6599	Cloquet/Carlton County Airport	MN	810	Staff@venturenorthaviation.com
Cook	Cook Municipal Airport	218-666-9931	Cook Municipal Airport	MN	456	
Crookston	Crookston Aviation	218-281-2625	Crookston Municipal Airport-Kirkwood Field	MN	1650	
Detroit Lakes	Detroit Lakes Aviation	218-847-3233	Detroit Lakes Airport-Wething Field	MN	1320	
Dodge Center	Wayne Trom	507-374-6245	Dodge Center Airport	MN	384	
Duluth	Monaco Air Duluth	218-727-2911	Duluth International Airport	MN	4680	fbo@monacoairduluth.com
Duluth	Duluth Airport Authority	218-733-0078	Sky Harbor Airport	MN	1140	
Elbow Lake	Prairie Air Inc.	218-685-6594	Elbow Lake Municipal - Pride of the Prairie Airport	MN	750	
Ely	Ely Municipal Airport	218-365-5600	Ely Municipal Airport	MN	660	
Eveleth	Taconite Aviation	218-744-1428	Eveleth-Virginia Municipal Airport	MN	1440	
Fairmont	City of Fairmont	507-235-6160	Fairmont Municipal Airport	MN	780	
Faribault	Quality Aviation	507-332-0140	Faribault Municipal Airport-Liz Wall Strohfus Field	MN	1530	
Fergus Falls	Fergus Falls Municipal Airport-Einar Mickelson Field	218-739-3733	Fergus Falls Municipal Airport-Einar Mickelson Field	MN	690	
Fertile	City of Fertile	218-945-3136	Fertile Municipal Airport	MN	780	
Forest Lake	City of Forest Lake	651-592-9127, 651-209-9745	Forest Lake Airport	MN	660	rick@ashbach.com
Fosston	Fosston Airport Authority	218-435-1959	Fosston Municipal Airport	MN	690	
Glencoe	City of Glencoe	320-864-5586	Glencoe Municipal Airport	MN	870	
Glenwood	Glenwood Airport Commission	320-634-5433	Glenwood Municipal Airport	MN	376	
Grand Marais	Roy Aero Service	218-387-3024	Grand Marais/Cook County Airport	MN	244	
Grand Rapids	AirWays Aviation Center	218-326-1226	Grand Rapids/Itasca County Airport-Gordon Newstrom Field	MN	1620	
Granite Falls	City of Granite Falls	507-476-5939, 320-564-5665	Granite Falls Municipal Airport/Lenzen-Roe-Fagen Memorial Field	MN	536	
Hallock	Two River Airspray	218-843-2076	Hallock Municipal Airport	MN	1440	
Hawley	City of Hawley	218-483-3331	Hawley Municipal Airport	MN	720	
Hector	Newberg Sky Spray	320-848-2745	Hector Municipal Airport	MN	536	
Henning	City of Henning	218-583-2402	Henning Municipal Airport	MN	152	
Hibbing	 Hibbing Fueling Facility	218-263-4353, 218-262-3452	Range Regional Airport	MN	2490	maureen@rangeregionalairport.com
Hinckley	Eagle Air, Inc.	320-384-6667	Field of Dreams Airport	MN	460	
Hutchinson	ASI Jet	320-587-7615, 952-941-6255	Hutchinson Municipal Airport-Butler Field	MN	1020	info@asijet.com
International Falls	 Einarson Flying Service	218-283-4461, 218-283-2712	Falls International Airport-Einarson Field	MN	3270	thor@einarsonflying.com
Jackson	PS Aviation	507-847-3599	Jackson Municipal Airport	MN	1560	
Le Sueur	City of Le Sueur	507-665-2266	Le Sueur Municipal Airport	MN	196	
Litchfield	City of Litchfield (FBO)	320-693-7201	Litchfield Municipal Airport	MN	536	
Little Falls	Big Sky Aviation	320-616-5525	Little Falls/Morrison County Airport-Lindbergh Field	MN	1830	
Long Prairie	Todd Field	320-732-2167	Todd Field Airport	MN	440	
Longville	City of Longville	218-363-2022	Longville Municipal Airport	MN	516	
Luverne	Sierra Delta Aviation LLC	507-283-5041, 605-413-5028	Quentin Aanenson Field Airport	MN	690	
Madison	Laq Qui Parle County (fuel)	320-333-9300	Lac Qui Parle County Airport	MN	164	
Mahnomen	County of Mahnomen	218-935-2296	Mahnomen County Airport	MN	128	
Mankato	North Star Aviation	507-625-6006	Mankato Regional Airport	MN	10350	
Maple Lake	City of Maple Lake	763-963-3738	Maple Lake Municipal Airport-Bill Mavencamp Sr Field	MN	1710	
Marshall	Midwest Aviation	507-532-3164	Southwest Minnesota Regional Airport - Marshall/Ryan Field	MN	1890	
Mc Gregor	Isedor Iverson Airport	406-223-4955, 218-768-2717	Isedor Iverson Airport	MN	144	
Milaca	City of Milaca	320-983-6547	Milaca Municipal Airport	MN	660	
Minneapolis	Thunderbird Aviation	952-941-1212	Flying Cloud Airport	MN	6240	fsales@thunderbirdaviation.com
Minneapolis	Premier Jet Center	952-641-2020	Flying Cloud Airport	MN	6240	service@flypremierjet.com
Minneapolis	Executive Aviation	952-943-1519	Flying Cloud Airport	MN	6240	customerservice@executive-aviation
Minneapolis	Elliott Aviation	952-944-1200	Flying Cloud Airport	MN	6240	fcmcontacts@elliottaviation.com
Minneapolis	 Modern Avionics	952-941-2783	Flying Cloud Airport	MN	6240	kurt@modernavionics.com
