Albany	Albany Municipal Airport	660-726-3935	Albany Municipal Airport	MO	252	
Aurora	Aurora Aviation	417-678-3000	Jerry Sumners Sr. Aurora Municipal Airport	MO	900	
Ava	City of Ava, Missouri	417-840-2301, 417-683-5516	Ava Bill Martin Memorial Airport	MO	372	dmkdavidson@gmail.com
Bolivar	Service Oriented Aviation Readiness (S.O.A.R.)	417-777-6800	Bolivar Municipal Airport	MO	1050	office@soar-m
Bonne Terre	Bonne Terre Airport	573-454-1266	Bonne Terre Municipal Airport	MO	62	bonneterreairport@gmail.com
Boonville	Tig-Air Aviation	660-882-7441	Jesse Viertel Memorial Airport	MO	870	
Bowling Green	City of Bowling Green	573-324-5451	Bowling Green Municipal Airport	MO	152	
Branson	Branson Jet Center	417-334-8234	Branson Airport	MO	460	info@bransonjetcenter.com
Branson	M. Graham Clark Downtown Airport	417-332-1848	M Graham Clark Downtown Airport	MO	930	
Branson West	City of Branson West	417-272-3313, 417-272-3921	Branson West Municipal Airport - Emerson Field	MO	252	bransonwest@tri-lakes
Brookfield	North Central Missouri Regional Airport	660-258-7317, 660-734-2505	North Central Missouri Regional Airport	MO	136	ncmra@shighway.com
Butler	Skydive Kansas City	816-529-5867	Butler Memorial Airport	MO	532	
Cabool	Cabool Memorial Airport	417-962-3136	Cabool Memorial Airport	MO	268	
Camdenton	Lake Aviation Center	573-346-0300	Camdenton Memorial-Lake Regional Airport	MO	810	corey@lakeaviationcenter.com
Cameron	Cameron Memorial Airport	816-284-3136	Cameron Memorial Airport	MO	540	airport@cameronmo.com
Cape Girardeau	 Cape Aviation	573-335-6632	Cape Girardeau Regional Airport	MO	2280	dirwin@cityofcapegirardeau.org
Carrollton	Carrollton Memorial Airport	660-542-1414	Carrollton Memorial Airport	MO	340	
Caruthersville	Dyersburg Avionics of Caruthersville	573-333-4296	Caruthersville Memorial Airport	MO	288	
Cassville	City of Cassville	417-847-4441	Cassville Municipal Airport	MO	196	
Chillicothe	Chillicothe Municipal Airport	660-646-5270	Chillicothe Municipal Airport	MO	480	
Clinton	Clinton Memorial Airport	660-885-8889	Clinton Regional Airport	MO	840	
Columbia	Central Missouri Aviation	573-443-1576	Columbia Regional Airport	MO	1530	
Cuba	Cuba Municipal Airport (Mosby Field)	573-885-2479	Cuba Municipal Airport	MO	284	
Dearborn	Triple R Air	816-935-9156	Triple R Airport	MO	34	
Dexter	Dexter Municipal Airport	573-624-4377	Dexter Municipal Airport	MO	720	
Eldon	City of Eldon (FBO)	573-392-2291	Eldon Model Airpark	MO	840	
